Date,Total Scheduled ,Total Absent,Open Time,AUX01 Paid Break,AUX01 Unpaid Lunch,Meeting-Unavail-Paid,Client ACD - Coaching,Absent,Unconfirmed LOA,MIA,Late-Tardy-Sign Off,Holiday-Float-Pd,On Loan to Program C,VZN Training Mod 2L,Personal Off Phon-Pd,Sick-Paid,MTO,No Call No Show-Unp,Sick-Unpaid,Leave-Personal-Unp,Training-SITEL-Pd,Excessive Time Off,Idle,V - Back Office Work,Borrowed A - Signon,OJT/Mentor-Paid,Borrowed B - Signon,CapOne - Virtual 2,SHIFT - V - Back Office Work,Month,DayOfWeek,IsWeekend
2023-02-26,1470.54,69.76,995.349999985,86.25,209,183.0,15.0,8.5,31.666666665999998,1.999999999,6.433333335,17.0,26.8,0.0,0.0,6.0,19.0,0.0,15.166666666,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,1
2023-02-27,3940.89,276.34,2456.916666647,229.5,517,257.5,46.5,64.666666666,61.733333333,4.983333332,4.43333333,48.333333333,60.999999998999996,0.0,15.850000000000001,9.95,33.5,16.5,78.066666666,8.5,37.0,2.733333333,60.966666665,290.966666667,109.5,22.333333333,0.0,0.0,0.0,2,0,0
2023-02-28,4360.23,150.57999999999998,2224.016666652,265.75,573,121.5,57.0,24.0,50.0,6.099999996,9.583333331999999,52.583333333,52.349999999,8.0,19.85,10.7,26.95,8.0,38.333333333,16.5,26.0,4.366666665,321.25,697.366666665,204.333333333,37.983333333,0.0,0.0,0.0,2,1,0
2023-03-01,4472.416666626,199.099999996,2383.883333317,267.25,592,57.0,65.5,31.833333333,56.166666666,9.766666666,11.716666665,37.0,44.583333332,0.0,8.116666667,17.533333333,46.0,8.5,57.983333333000004,24.5,35.0,4.750000001,582.98333333,447.116666667,156.350000003,36.833333333,0.0,0.0,0.0,3,2,0
2023-03-02,4485.999999957,144.183333331,2197.566666645,269.483333333,609,147.0,55.5,16.0,31.833333333,4.016666667,11.116666665,45.25,42.416666665,17.0,9.016666666999999,10.05,87.25,8.5,58.416666666,16.0,56.95,6.05,641.233333327,473.700000007,105.966666665,40.566666665999996,0.0,0.0,0.0,3,3,0
2023-03-03,4377.666666634,242.916666666,2117.783333316,258.25,599,105.5,44.0,32.0,34.833333333,3.983333332,12.349999999,44.166666667,70.166666665,17.0,7.133333334,22.200000001,64.0,7.333333333,75.1,16.0,34.0,5.466666668,340.450000004,697.216666664,108.849999998,35.833333333,0.0,0.0,0.0,3,4,0
2023-03-04,2793.749999978,132.31666666499999,1159.299999989,167.5,392,19.5,20.0,41.333333333,33.0,3.0666666670000002,4.199999999,41.0,48.916666666,0.0,0.0,4.85,95.5,0.0,43.333333333,8.0,0.0,2.1,187.149999998,503.75000000299997,37.183333335,14.85,0.0,0.0,0.0,3,5,1
2023-03-05,1265.999999985,89.200000001,1035.066666656,73.75,184,0.0,18.0,0.0,15.833333332999999,2.733333333,3.133333335,7.333333333,41.083333333,17.0,0.233333334,11.75,5.833333333,0.0,51.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,1
2023-03-06,3772.666666637,231.033333332,2380.799999977,220.75,495,160.75,50.0,25.0,32.333333333,8.600000001,17.849999999,44.5,45.666666666,17.0,8.366666667,25.65,76.366666666,0.0,111.85,0.0,17.5,2.7000000010000003,44.433333334,285.766666667,125.5,22.333333333,0.0,0.0,0.0,3,0,0
2023-03-07,4629.283333298,193.48333333,2225.866666651,276.5,607,241.25,67.5,25.5,26.75,14.583333333999999,9.849999997,76.333333333,33.383333333,0.0,8.0,7.6333333329999995,119.283333333,8.5,96.666666666,16.5,62.0,3.15,771.499999999,207.049999998,177.566666666,33.033333333,0.0,0.0,0.0,3,1,0
2023-03-08,4749.766666627,199.28333333,2404.099999983,284.25,616,77.75,72.0,17.0,32.333333333,11.766666666,6.316666665,71.499999999,51.4,17.0,9.683333334,25.966666666000002,126.866666666,0.0,102.899999999,16.5,62.3,2.900000001,433.400000003,581.1,178.833333333,34.333333333,0.0,0.0,0.0,3,2,0
2023-03-09,4423.333333292,273.416666661,2176.016666649,259.75,575,45.35,45.5,66.333333333,31.833333333,3.55,3.016666665,45.833333331999995,30.333333333,17.0,9.65,29.049999999,121.166666666,15.333333332999999,115.616666665,8.0,38.0,1.733333333,823.233333336,236.966666663,143.5,35.833333333,0.0,0.0,0.0,3,3,0
2023-03-10,4700.9333332999995,275.116666664,2361.683333321,276.75,616,118.666666667,39.5,56.833333333,47.083333333,15.933333332,6.933333332,38.499999998999996,52.083333333,17.0,8.666666666000001,15.283333333,137.166666666,8.5,113.616666665,16.0,78.9,6.649999999,637.099999999,361.21666667,104.799999998,36.333333333,0.0,0.0,0.0,3,4,0
2023-03-11,2720.999999977,152.033333333,1106.483333324,161.25,372,14.9,15.0,78.166666665,0.0,1.416666668,3.616666667,22.666666665999998,37.5,0.0,0.0,0.0,77.766666666,16.0,48.333333333,16.0,77.833333333,2.583333333,25.949999998,662.6666666579999,37.050000002,15.0,0.0,0.0,0.0,3,5,1
2023-03-12,1436.999999987,97.233333333,1139.666666655,83.25,200,1.0,15.0,25.0,0.0,1.616666667,9.616666667,32.333333333,20.0,0.0,0.0,5.333333333000001,60.833333333,14.666666666,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,1
2023-03-13,3804.283333307,216.333333332,2564.549999984,222.75,502,25.5,42.0,24.5,43.833333333,2.233333333,15.233333334,56.833333333,45.716666666,17.0,0.0,23.85,92.583333333,7.333333333,90.099999999,8.0,38.5,3.866666666,29.433333333,283.833333331,81.5,22.333333333,0.0,0.0,0.0,3,0,0
2023-03-14,4477.333333297,187.149999997,2333.683333315,267.25,585,162.0,61.0,0.0,64.166666666,6.816666666,12.299999997,53.083333333,37.333333333,17.0,13.333333332999999,12.45,115.583333333,8.0,83.416666666,16.0,41.0,2.616666667,34.766666668,913.24999999,166.966666666,35.333333333,0.0,0.0,0.0,3,1,0
2023-03-15,4469.666666632,183.666666666,2299.2166666499998,266.5,580,122.6,64.0,16.0,39.666666666,11.516666667,10.599999999,23.833333333,31.0,8.5,10.966666667,14.300000001,98.166666667,7.333333333,79.25,16.0,49.0,5.449999998,57.316666663,917.783333329,170.75,35.833333333,0.0,0.0,0.0,3,2,0
2023-03-16,4429.166666632,215.383333329,2144.983333317,262.25,569,195.4,54.5,23.833333333,39.166666666,1.683333332,7.116666665,33.0,33.666666667,17.0,8.0,18.0,129.08333333299998,16.5,101.083333333,16.0,58.5,3.649999999,550.966666665,386.016666669,176.616666667,34.333333333,0.0,0.0,0.0,3,3,0
2023-03-17,4473.99999997,256.349999996,2248.049999991,261.0,576,129.0,44.5,56.333333333,48.333333333,12.566666666,9.683333332,33.5,31.0,8.5,8.200000000000001,4.0,62.833333333,24.5,88.56666666699999,16.0,35.0,7.649999998,712.866666669,314.750000004,98.98333333,36.333333333,0.0,0.0,0.0,3,4,0
2023-03-18,2691.499999976,165.21666666299998,1288.766666658,158.75,369,4.0,18.5,46.499999998999996,33.833333333,2.766666667,11.133333331,40.833333333,23.0,8.5,8.0,6.15,52.583333333,23.333333333,41.5,8.0,76.0,2.1,57.533333333,660.249999992,44.333333333,15.0,0.0,0.0,0.0,3,5,1
